"logFC" "logCPM" "LR" "PValue" "FDR"
"ENSG00000034971.13" 2.02978065939024 4.7616328029159 1047.26429512911 9.57074994407305e-230 1.73335852237107e-225
"ENSG00000185149.5" 1.95298736091429 4.74724515477216 934.357900375001 3.33410854448247e-205 3.0192019924561e-201
"ENSG00000250538.4" 2.21148627782296 4.48211908505481 926.577967813217 1.63750407558802e-203 9.8856121043249e-200
"ENSG00000167434.8" 1.63344409472438 5.0510503051208 827.211548889004 6.54489689833298e-182 2.96336569314272e-178
"ENSG00000277737.2" 1.96050949735063 4.60854375559877 800.984028666651 3.29697567352076e-176 1.19423052846269e-172
"ENSG00000170373.7" -2.53497081811421 5.7019913717312 797.066170325443 2.34385080216045e-175 7.07491364632132e-172
"ENSG00000259347.4" 2.22334546777086 4.35095476690146 784.673891153155 1.15950661520636e-172 2.9999749011432e-169
"ENSG00000126545.12" 2.04901676401294 4.47523612570127 756.434566819394 1.60067434607511e-166 3.62372663522078e-163
"ENSG00000149124.9" 1.60188049406819 5.00573144532303 752.316078540182 1.25835662619963e-165 2.5322329841224e-162
"ENSG00000029559.6" -2.7501757905484 5.49548985278141 725.740325495989 7.55864131237893e-160 1.36894552808495e-156
"ENSG00000248869.4" 1.94408046898789 4.50771402108247 690.874547920347 2.88477657787808e-152 4.74965350926818e-149
"ENSG00000224525.2" 2.01575267365275 4.4282229419622 681.47575589998 3.19153582095329e-150 4.81682543777376e-147
"ENSG00000228162.1" 2.06817735602898 4.37165701945924 672.503353411137 2.85234271578643e-148 3.97375222504678e-145
"ENSG00000165478.6" 1.60620757595455 4.88392056734172 666.071810108544 7.14289226517884e-147 9.24035155818956e-144
"ENSG00000174697.4" 1.23600520671098 5.53964358543449 665.402647748203 9.98615893292836e-147 1.20572882956177e-143
"ENSG00000171819.4" 1.54751717271902 4.94632075226804 649.183925190941 3.3619521584308e-143 3.80551972133376e-140
"ENSG00000138039.13" 2.01678222472406 4.38105749928651 639.373581032682 4.57274564662876e-141 4.87158802388785e-138
"ENSG00000246022.2" 1.84228446496137 4.54247202670797 630.708247872384 3.50577517551406e-139 3.52739412242973e-136
"ENSG00000236333.3" 1.42623577574415 5.11194101956063 629.317334769156 7.035498942441e-139 6.70631164981837e-136
"ENSG00000250961.1" 1.82906991585065 4.52312525434252 604.335241611773 1.90921611922075e-133 1.72889065676035e-130
"ENSG00000186466.5" 1.71765165347652 4.64963064577865 603.635521716325 2.71049167073549e-133 2.33760545946145e-130
"ENSG00000184601.9" 1.41425042385737 5.08336050853156 599.067643928744 2.67050968403366e-132 2.1984364039788e-129
"ENSG00000267653.1" 1.78622574529456 4.56221883553258 598.302982734492 3.91664901643388e-132 3.08410566681018e-129
"ENSG00000208035.1" 1.92076104295001 4.41360425374003 591.308631353864 1.30095932755391e-130 9.81736432555373e-128
"ENSG00000091704.8" 1.67332500481395 4.68130960519152 587.160960293302 1.03858590627506e-129 7.52393173941904e-127
"ENSG00000084674.12" 1.44519306491979 5.01066211438349 586.616466024209 1.36420184886832e-129 9.50271526340542e-127
"ENSG00000153820.11" 1.56909448596291 4.81131090429082 580.597881945893 2.77990114436396e-128 1.86469591205836e-125
"ENSG00000187758.6" 1.73154670048478 4.5998670585304 579.916372345489 3.91085260910632e-128 2.52962327155445e-125
"ENSG00000137745.10" -1.61244095325192 5.97009063259024 569.45043824332 7.3936899817584e-126 4.6174868710216e-123
"ENSG00000115593.13" 1.34188694432569 5.13227750558377 553.483409238216 2.19892990424696e-122 1.32749398319389e-119
"ENSG00000224958.4" 1.77395297059066 4.50955053608402 550.005971663305 1.25513674792893e-121 7.33283278765831e-119
"ENSG00000182601.6" 1.52772133223934 4.82154865460099 549.706859748706 1.45800854878965e-121 8.2518727584779e-119
"ENSG00000180264.9" 1.54677727204515 4.79094637373739 547.823830218967 3.74452870738682e-121 2.05506543695402e-118
"ENSG00000179796.10" 1.63157063624515 4.67567309528131 547.735791362043 3.91335577601318e-121 2.08455254292278e-118
"ENSG00000226005.3" 1.91735103531096 4.35678537249269 543.739734102892 2.8964523743602e-120 1.49878997005822e-117
"ENSG00000259916.1" 1.74012577923319 4.53690612586543 542.795479953817 4.64819802999602e-120 2.33843095892383e-117
"ENSG00000230838.1" -1.76246036866744 5.75948654039139 538.772922724272 3.48643150740057e-119 1.70656110893329e-116
"ENSG00000153822.12" 1.35798305455569 5.05286259095491 526.141550931528 1.95155627641112e-116 9.30121992686361e-114
"ENSG00000161649.11" 1.11093684504663 5.54905271416252 520.123187147334 3.97869732451592e-115 1.84764582677713e-112
"ENSG00000185559.12" 1.43462222847647 4.91031567207685 518.654835749081 8.30234750040946e-115 3.75909538949789e-112
"ENSG00000198099.7" 1.61586973686649 4.63193459607957 507.578930327013 2.13291003209761e-112 9.42173990032191e-110
"ENSG00000154162.12" 1.56511788671935 4.6944681595386 505.121319683171 7.30610195952278e-112 3.15049553783136e-109
"ENSG00000232079.5" 1.38276732209228 4.95467548242271 496.837029712681 4.63631692266857e-110 1.95275199503373e-107
"ENSG00000123500.8" -1.19767342293416 6.33750167920312 495.637926646494 8.45430003449042e-110 3.47990518010582e-107
"ENSG00000184811.3" 1.04035480604981 5.66574293440057 493.821625381597 2.10027657022228e-109 8.45291310295459e-107
"ENSG00000168079.15" 1.05697265804108 5.61374016180141 489.70510586993 1.65187720171628e-108 6.50372782614859e-106
"ENSG00000165197.4" 1.13434341533926 5.42645582402861 489.090675237128 2.24735250188832e-108 8.6599576939786e-106
"ENSG00000171199.8" 1.3567129760695 4.9837101580782 488.960514347474 2.39879336295486e-108 9.05094720759905e-106
"ENSG00000229436.1" 1.68923832440104 4.51183106317791 488.140773397132 3.61709737069e-108 1.33692347919524e-105
"ENSG00000189367.13" 1.65521641469466 4.54857621052718 486.257450986945 9.29296843470359e-108 3.36609902641833e-105
"ENSG00000186439.11" 1.38111366163863 4.93691527349994 486.212997154055 9.50226769150812e-108 3.37442294433144e-105
"ENSG00000166961.13" -2.07092004383553 5.39279007952002 480.500270565222 1.66297618673272e-106 5.79195417652236e-104
"ENSG00000170509.10" 1.30969417517982 5.0404046650869 475.828170971358 1.72795539024804e-105 5.90471699486458e-103
"ENSG00000176194.16" 1.11421517366732 5.41422327477277 463.49090334209 8.36019833503567e-103 2.80391763047835e-100
"ENSG00000187288.9" 1.00153991249125 5.69423158553672 463.024923575341 1.05589392561929e-102 3.47696270670744e-100
"ENSG00000000005.5" 1.21350853300279 5.18583097483142 457.702220935103 1.52030375327274e-101 4.9168252277719e-99
"ENSG00000124253.10" 1.10800169182687 5.41197345453598 456.438960163072 2.86313296525335e-101 9.09722826907079e-99
"ENSG00000281769.1" 1.42627180510113 4.80155555486929 454.165030938857 8.94743948290323e-101 2.79391511163552e-98
"ENSG00000120907.16" 1.3110966949643 4.97370576327757 445.372049554817 7.33326047281248e-99 2.25106238005266e-96
"ENSG00000170262.11" 1.29006631560405 5.00801622566514 443.794011860446 1.61707801897873e-98 4.88115000028729e-96
"ENSG00000016602.9" 1.32331582388524 4.92965904190958 434.896068591133 1.39724635428331e-96 4.14844733154508e-94
"ENSG00000181234.9" 1.04887183023322 5.48909489202306 430.214811506892 1.45926566541968e-95 4.26270330103481e-93
"ENSG00000134548.8" 1.15106364226091 5.25061752196149 429.486936805327 2.10163046749678e-95 6.04168720584671e-93
"ENSG00000178828.6" 1.5059861700116 4.63305259024378 427.089700881268 6.9874601184324e-95 1.97734203445202e-92
"ENSG00000229108.1" 1.33976264365826 4.88299758243723 426.334564642805 1.02018184307277e-94 2.8425405169063e-92
"ENSG00000196611.4" -1.3816090497082 5.87965472713906 423.469922755033 4.28729974341051e-94 1.17647402504406e-91
"ENSG00000156076.8" 1.14427004686008 5.24467982490504 421.073636798632 1.42481087959909e-93 3.85145520006256e-91
"ENSG00000137440.4" 1.27186053995495 4.98925950171542 420.599169566711 1.8072995618639e-93 4.81352975954663e-91
"ENSG00000111713.2" 1.5205674853895 4.59673378632009 418.464890318252 5.2672324077859e-93 1.38253400199145e-90
"ENSG00000083782.6" -1.74230307092808 5.48303266918011 417.000661097417 1.0972190940948e-92 2.83881928759298e-90
"ENSG00000181092.8" 0.884905592228546 5.90779207372805 416.754859807249 1.24106879778675e-92 3.16577422488956e-90
"ENSG00000114771.12" 1.41322409352851 4.74025900356524 414.410242240891 4.01922540292553e-92 1.01100265656089e-89
"ENSG00000108342.11" 1.53841655069699 4.56080968236277 411.936167793523 1.3889124200449e-91 3.44583463553879e-89
"ENSG00000188828.10" 1.53895593324374 4.55955347414188 411.645057329232 1.6070946991886e-91 3.93325568878442e-89
"ENSG00000203805.9" -1.37082876502353 5.84806009981385 407.655860456431 1.18683124266073e-90 2.86596008477713e-88
"ENSG00000231246.1" 1.45155371564736 4.66285055821855 404.32209592438 6.31075281561514e-90 1.50386900320534e-87
"ENSG00000155886.10" -1.44149388535879 5.73781596293331 399.609972245172 6.69636154426937e-89 1.57503641465276e-86
"ENSG00000243961.2" 1.53832609234757 4.53420449268925 398.301028774093 1.29056913396334e-88 2.99660225451412e-86
"ENSG00000231817.6" 1.45850214392634 4.63654057281314 396.437910930019 3.28371333820451e-88 7.5280167428129e-86
"ENSG00000228971.2" 1.12406396622843 5.22257254488798 395.120204944378 6.35654049941112e-88 1.43904131231044e-85
"ENSG00000164007.9" 1.15903060728844 5.14130413336417 392.579808527496 2.271195437147e-87 5.07822476076165e-85
"ENSG00000196616.11" 0.829889321932593 6.01236694284774 392.346423431205 2.55306526723128e-87 5.63884939692996e-85
"ENSG00000261054.1" 1.36448743765321 4.76301394080374 390.420028271375 6.70558578449659e-87 1.46319113425323e-84
"ENSG00000280362.1" 1.46475074374096 4.61482988386325 390.246635570088 7.31449659301682e-87 1.57705771185866e-84
"ENSG00000170965.8" -1.7826554947251 5.36936603942138 388.008482263161 2.24613519449853e-86 4.78585347147799e-84
"ENSG00000139151.13" 1.57195385420202 4.46924199739092 386.271531633972 5.36511727268468e-86 1.12985626657665e-83
"ENSG00000186458.4" 1.15985185640946 5.11369237510063 382.623859762631 3.33972607240083e-85 6.95238837899442e-83
"ENSG00000130226.15" 1.19982735170523 5.02901919541531 380.909520264574 7.88760233345324e-85 1.6233223393315e-82
"ENSG00000152785.6" 1.29660434393134 4.84961181046331 379.837640328329 1.34992461241437e-84 2.74702074780188e-82
"ENSG00000165269.11" 0.933195080252147 5.6553191053989 379.571046040668 1.54294838532494e-84 3.10492646740221e-82
"ENSG00000170369.3" -1.61917108918185 5.48936054712235 379.385085722275 1.69370600036656e-84 3.37084718380646e-82
"ENSG00000124205.14" 1.11920756007215 5.18880654053592 378.486603946146 2.65737627420323e-84 5.23127627196681e-82
"ENSG00000004846.15" 1.15051073055267 5.11753122566013 376.760655465468 6.31284752774689e-84 1.229376145968e-81
"ENSG00000227591.4" 1.19683858662799 5.01905631142471 374.799104814757 1.68771129613747e-83 3.25171694514316e-81
"ENSG00000276289.3" 1.48360096439981 4.55416897928213 373.63724240491 3.02178813253058e-83 5.76080051244856e-81
"ENSG00000261742.4" -1.75114764395226 5.35366115987452 373.44863254239 3.32146121493938e-83 6.26614417330908e-81
"ENSG00000181778.4" 1.41451413282654 4.6414319288167 369.992200836597 1.87885050243432e-82 3.50802695356577e-80
"ENSG00000130876.10" 1.07321546350691 5.26425158032402 368.55695334158 3.85826211651754e-82 7.130304611454e-80
"ENSG00000124440.14" 1.02509390998473 5.36822881453672 364.864773660248 2.45647829665436e-81 4.49386650815223e-79
"ENSG00000255071.2" 1.02322961455724 5.36918997849613 363.634069287295 4.55288521358525e-81 8.23165421283788e-79
"ENSG00000115361.6" 1.07612746465292 5.24346326440548 363.617630683671 4.59056416264495e-81 8.23165421283788e-79
"ENSG00000084453.15" 1.26460316025955 4.86263647791992 362.72162825745 7.19388260292269e-81 1.27733733158366e-78
"ENSG00000234810.1" 1.50152227897637 4.49961956870882 358.981088444523 4.6929927247504e-80 8.25192147941305e-78
"ENSG00000169618.6" 1.37457941397888 4.67238059860552 357.978710685951 7.75741971559979e-80 1.35090988912719e-77
"ENSG00000240654.5" 1.23348809522157 4.90179169918379 356.348627972065 1.75659173188772e-79 3.02986979583033e-77
"ENSG00000182566.11" 1.33688041124037 4.71853853245336 353.110178640552 8.90968963435902e-79 1.52229612233846e-76
"ENSG00000164488.10" 1.12433808815836 5.10553746747977 352.467679361722 1.22962526901631e-78 2.08128441562191e-76
"ENSG00000172987.11" 1.0430288216601 5.28624435767428 351.881118571864 1.65007041961247e-78 2.76707642311125e-76
"ENSG00000103546.17" 1.22315208341097 4.88979970264354 344.766192865859 5.84654771844312e-77 9.71438768153425e-75
"ENSG00000152578.11" 1.02794942409333 5.29808551207127 343.877952805444 9.12715319130993e-77 1.50274428588922e-74
"ENSG00000178403.3" 1.36106499084353 4.65463649757126 342.213933706217 2.10242138230024e-76 3.43035618512068e-74
"ENSG00000248144.4" 0.975939508024661 5.41576985755568 339.842390341493 6.90550117758115e-76 1.11665653417118e-73
"ENSG00000131686.13" 1.36357737570126 4.64418476889832 339.492507164151 8.22988469047024e-76 1.31903930645227e-73
"ENSG00000154493.16" 1.0860763167196 5.14995211172411 339.329594266951 8.93045237981766e-76 1.41876686886735e-73
"ENSG00000196747.4" -1.59383719096428 5.38545503478477 337.912231278302 1.81783116012768e-75 2.86284696878891e-73
