"logFC" "logCPM" "LR" "PValue" "FDR"
"ENSG00000181092.8" 2.57931590987419 4.59723157051749 580.744296972634 2.58333761130403e-128 4.26844873515765e-124
"ENSG00000034971.13" 2.29197056538379 4.6586158993594 462.983264820959 1.07816648938059e-102 8.90727245201771e-99
"ENSG00000096006.10" 1.54597350577205 5.49203450452388 413.569834808613 6.12453649079969e-92 3.37319054791611e-88
"ENSG00000126549.8" 1.67211291399388 5.20745393206903 382.317464870624 3.89418616767347e-85 1.60859095121172e-81
"ENSG00000171195.9" 1.81525680169458 4.96062451263762 363.117768681982 5.89802773258121e-81 1.94906224450879e-77
"ENSG00000134551.11" 1.89118453708957 4.83987824131077 351.701115753548 1.80592653906085e-78 4.40640568731122e-75
"ENSG00000159763.3" 1.8931081226694 4.83747928802616 351.635017971511 1.86678204994121e-78 4.40640568731122e-75
"ENSG00000134240.10" 1.76561897141505 4.92940950453212 326.902979720741 4.54288784000381e-73 9.38276697254788e-70
"ENSG00000196616.11" 1.56413454585711 5.19921435099724 320.634560264685 1.05361197497903e-71 1.93431451806428e-68
"ENSG00000124205.14" 1.79651777987719 4.83792816767226 307.850824139776 6.41820169842151e-69 1.06047946663019e-65
"ENSG00000204544.5" 1.21385603329122 5.73916925482952 285.643995955256 4.42297590312613e-64 6.64371189521391e-61
"ENSG00000039537.12" 1.93868728186324 4.59984862233941 278.582643859668 1.52920372693453e-62 2.10558609834494e-59
"ENSG00000197446.7" 1.7257792973187 4.81351893554017 270.224547733781 1.01384164648049e-60 1.28859273267671e-57
"ENSG00000185559.12" 1.69079630575736 4.84578285110131 266.434831536603 6.79111362985553e-60 8.01496932186449e-57
"ENSG00000184811.3" 1.89135086142273 4.60029108527901 261.673545216495 7.40845527467179e-59 8.16066043356013e-56
"ENSG00000187288.9" 1.74429506508113 4.7465851605568 256.295207908824 1.10177842165572e-57 1.1377928038136e-54
"ENSG00000128713.12" -1.96064662078301 5.88928408958181 254.982776844981 2.12907671711298e-57 2.06933732922693e-54
"ENSG00000235097.1" 1.77082422999224 4.70636839508976 253.462376712801 4.56699624680787e-57 4.19224883255591e-54
"ENSG00000257636.5" -3.57628524978717 5.16640768871039 249.0712485862 4.13920885626473e-56 3.59958673326642e-53
"ENSG00000168333.12" 1.82452892954565 4.61237388773949 242.577117788577 1.0784277406058e-54 8.90943077901484e-52
"ENSG00000139800.8" -2.04453527215027 5.75722629918859 239.882383309489 4.17206666169801e-54 3.2826217833922e-51
"ENSG00000204889.9" 1.77612992552892 4.65071911004072 238.098705538652 1.02159631730382e-53 7.6726527049141e-51
"ENSG00000256870.2" 1.75917396448835 4.64292231385894 230.067352443567 5.76307338069706e-52 4.1401418030112e-49
"ENSG00000111713.2" 1.66113739061253 4.75383566108255 228.565320856715 1.2252546235198e-51 8.43536756017405e-49
"ENSG00000272763.1" -2.09452453570575 5.64233882586207 223.437132252834 1.60947107410451e-50 1.06373162229716e-47
