"logFC" "logCPM" "LR" "PValue" "FDR"
"ENSG00000198398.2" 3.65227782445893 4.40618204164319 1540.77460145257 0 0
"ENSG00000167580.6" 2.50173242994104 5.29269849837477 1777.86744688107 0 0
"ENSG00000169344.14" 2.21455631925761 5.48354570040672 1588.05502989799 0 0
"ENSG00000279460.1" 3.83279309777996 4.27231750586412 1401.27958241161 1.10757505476887e-306 5.06134110653004e-303
"ENSG00000248517.1" 3.49902133528758 4.38207278544962 1363.57639270053 1.72755112262491e-298 5.28365169377283e-295
"ENSG00000250529.1" 4.02476682396112 4.19343641998478 1363.56856002238 1.73433503816604e-298 5.28365169377283e-295
"ENSG00000156284.5" 2.5175011194721 5.00060604362823 1351.77081299135 6.35134059610499e-296 1.65851649651719e-292
"ENSG00000150201.13" 2.46838420423773 5.04050057699194 1344.3184837575 2.6443370357202e-294 6.04197958449118e-291
"ENSG00000161992.5" 3.08047026330589 4.55439735527731 1298.32238345865 2.61692630545954e-284 5.31497732638832e-281
"ENSG00000162399.6" 2.62250905395315 4.85532630555421 1275.31608310164 2.61470370754621e-279 4.77941690702372e-276
"ENSG00000169550.11" 2.49692227327564 4.94016615391478 1244.71723591598 1.16719375056208e-272 1.93955768786584e-269
"ENSG00000124157.6" 4.09430416889117 4.09495782230527 1194.98877213104 7.48825525803358e-262 1.14064848217996e-258
"ENSG00000151418.10" 2.80675458663156 4.64670336762662 1176.93622425593 6.27684637677187e-258 8.82572884007793e-255
"ENSG00000180251.4" 2.41565185870171 4.93980070279469 1150.56849655778 3.37545734853746e-252 4.4071417767083e-249
"ENSG00000267259.1" 2.87434760167706 4.57522518453559 1139.3491230533 9.26217012429631e-250 1.12868805134675e-246
"ENSG00000223783.1" 3.48372180180901 4.25361126405843 1120.04319200425 1.45427620937626e-245 1.66141967694929e-242
"ENSG00000258402.1" 3.88302533283654 4.10714292631083 1101.49624483322 1.56201313281889e-241 1.67953165028215e-238
"ENSG00000113889.10" 1.93199757080926 5.43994509826582 1100.1585042763 3.05094764473247e-241 3.09823733322582e-238
"ENSG00000257191.1" 3.84562352503122 4.11366136337666 1092.80526646666 1.20954952086669e-239 1.16365029957486e-236
"ENSG00000248713.1" 2.84763152938385 4.55128578463763 1082.38315124462 2.22758501629898e-237 2.03590132564646e-234
"ENSG00000168269.8" 2.35175747212809 4.94167071262343 1081.75164535875 3.05555809258967e-237 2.65964506544983e-234
"ENSG00000075673.10" 2.56003829560786 4.7364571494319 1055.30043620651 1.71499690027107e-231 1.42492856091159e-228
"ENSG00000164853.8" 3.63924950005983 4.1473065136027 1034.77619093839 4.95796313512195e-227 3.81579786800628e-224
"ENSG00000169347.15" 2.68300776458534 4.62645590662617 1034.75529957933 5.01007433842939e-227 3.81579786800628e-224
"ENSG00000254789.1" 3.28200715784641 4.27977406655034 1025.44796357075 5.28280682075781e-225 3.86257703506528e-222
