"logFC" "logCPM" "LR" "PValue" "FDR"
"ENSG00000167580.6" 2.57656975570569 5.23577420644084 867.797523916806 9.82638583048468e-191 1.78270291736653e-186
"ENSG00000198398.2" 3.97178373577324 4.34679856380554 830.126729332111 1.52095844159038e-182 1.37966140236664e-178
"ENSG00000151418.10" 3.83526858886384 4.39610905637958 828.959173288939 2.72868759591834e-182 1.65012834550502e-178
"ENSG00000168269.8" 3.24631220848034 4.66418833794824 813.962508721846 4.97041815228178e-179 2.2543331529674e-175
"ENSG00000248517.1" 4.01559045595279 4.30156623736694 792.937511235042 1.85174755949281e-174 6.71888084486371e-171
"ENSG00000279460.1" 4.69841256539147 4.10498750277453 773.428424893019 3.23088680567131e-170 9.76912473808148e-167
"ENSG00000161992.5" 3.34462997299183 4.54256412832881 747.937918689029 1.12660872864598e-164 2.91984793644218e-161
"ENSG00000169550.11" 3.00876258331075 4.72465980153065 731.955536489422 3.36496957618637e-161 7.63090975639664e-158
"ENSG00000250529.1" 4.29639927855867 4.1628934346725 724.072232407713 1.74246418593028e-159 3.5124205845719e-156
"ENSG00000150201.13" 2.68130798529898 4.95052324304362 714.584910951578 2.01449250526589e-157 3.65469230305337e-154
"ENSG00000249601.2" 3.30710706883808 4.52530352723316 712.445161676239 5.8810611453501e-157 9.69947375444923e-154
"ENSG00000169344.14" 2.13053755626067 5.52461641968905 711.756379434344 8.30294782664273e-157 1.2552673289246e-153
"ENSG00000249341.1" 3.71097301982273 4.32326152316008 693.473400844049 7.85173209838472e-153 1.0957394132992e-149
"ENSG00000281769.1" 3.61417220903525 4.35605746210969 687.422625364155 1.62469630962647e-151 2.1053743178031e-148
"ENSG00000156284.5" 2.69696413584008 4.89601118212011 683.158264486279 1.3744018330026e-150 1.66229320362221e-147
"ENSG00000253802.1" 4.38597150562759 4.10640111872038 681.555599417544 3.06645473082422e-150 3.47697635791331e-147
"ENSG00000166828.2" 2.5574614573729 5.0145342505836 681.111969520598 3.82922197602434e-150 4.08645559347256e-147
"ENSG00000162399.6" 2.84182223674147 4.77536618516711 677.225258815268 2.68125486921599e-149 2.70240699096202e-146
"ENSG00000165694.8" 3.72604076401553 4.30179668833591 676.972456725902 3.04308589427769e-149 2.90566654178873e-146
"ENSG00000113889.10" 2.24951934430644 5.28230415141915 649.149859749113 3.41979525835035e-143 3.1020962788496e-140
"ENSG00000116218.11" 2.79134429939187 4.76818147449501 643.090031552056 7.11058640989134e-142 6.14286945944041e-139
"ENSG00000258402.1" 4.59917874906793 4.0153377541739 627.258664191983 1.97259897795406e-138 1.62667684809284e-135
"ENSG00000265460.5" 2.84298172350248 4.69089743753612 613.609920917546 1.83479529753226e-135 1.44725462121001e-132
"ENSG00000188816.3" 4.0813665717873 4.12282185184523 608.335298547755 2.5752885903389e-134 1.94670356691368e-131
"ENSG00000008196.11" 2.65719799667322 4.81636017199175 602.775083122867 4.17060129224533e-133 3.02652194575659e-130
"ENSG00000259754.1" 4.2400745376559 4.07594057534106 602.468125141986 4.86366883688596e-133 3.39371846303019e-130
"ENSG00000184672.10" 2.93122809223703 4.59971679069904 590.237648469302 2.22442123124923e-130 1.49464629545643e-127
"ENSG00000167941.2" 2.98533376121037 4.55736142858961 584.124213057867 4.75319768802508e-129 3.07973258771968e-126
"ENSG00000254789.1" 3.70220727039635 4.20498546431382 571.117019053689 3.20874668301792e-126 2.00734766632107e-123
"ENSG00000173253.13" 2.61432825808646 4.80314560079807 570.587010570815 4.18433284050763e-126 2.53040554641631e-123
"ENSG00000075673.10" 2.79833055046404 4.66064493066096 569.255681520729 8.15128619663817e-126 4.77034303804547e-123
"ENSG00000113905.4" 2.47742112796317 4.90880495027917 562.430035008895 2.48889574925372e-124 1.41104833384253e-121
"ENSG00000164853.8" 3.95776097221395 4.10866043235516 556.09188481208 5.95347842902405e-123 3.27296986846528e-120
"ENSG00000267259.1" 2.99841169508404 4.50373210396603 550.006262713838 1.25495377625908e-121 6.69628570849774e-119
"ENSG00000269933.1" 3.17490218810815 4.40120614303596 546.304938732338 8.01347658956221e-121 4.15372835108108e-118
"ENSG00000248713.1" 2.99343325087849 4.48205771582206 532.053700750123 1.0096171311356e-117 5.08790944251724e-115
"ENSG00000225064.1" 3.89828313518198 4.09496800746533 525.032800364517 3.40094463147953e-116 1.66756587849464e-113
"ENSG00000196767.6" 3.38015011295181 4.27496059234182 522.235516807752 1.38094885667687e-115 6.59294056785048e-113
"ENSG00000223783.1" 3.50702394842539 4.2206892050263 519.931902736303 4.37882263204379e-115 2.03693846642406e-112
