"logFC" "logCPM" "LR" "PValue" "FDR"
"ENSG00000203878.10" 2.55601130194373 4.55850252236904 577.084309336168 1.61549465502001e-127 2.97202551684032e-123
"ENSG00000235584.2" 2.40520694815835 4.67681379107261 568.544074165745 1.1641806785116e-125 1.0708715971289e-121
"ENSG00000244215.1" 2.84731889106538 4.25392466337059 500.183863891157 8.66892485384513e-111 5.31607368453963e-107
"ENSG00000231698.2" 2.62290849189997 4.28554460046753 423.604687993941 4.00729372738965e-94 1.84305456756969e-90
"ENSG00000261863.1" 2.34190154153447 4.48801497421486 418.773199751063 4.51309802517519e-93 1.66054928738296e-89
"ENSG00000133105.6" 3.03305002750173 4.0522613449163 416.592039342313 1.34659290616477e-92 4.12887828245222e-89
"ENSG00000248551.1" 2.89581083805086 4.11379173880713 413.79639335823 5.46711623501985e-92 1.43683624822372e-88
"ENSG00000225548.4" -3.92768886281874 5.65785722984236 412.887766014998 8.62063562753983e-92 1.98242292049813e-88
"ENSG00000123364.4" -3.62026518046289 5.71440585681397 407.635110244723 1.19923921471292e-90 2.45137820367484e-87
"ENSG00000273877.3" 2.34401798497886 4.46537806888629 407.350483158829 1.38312918749678e-90 2.54454276623782e-87
"ENSG00000259749.1" 2.75842356655953 4.13983983192055 381.587979162908 5.61351776227596e-85 9.38835329750826e-82
"ENSG00000253959.1" 2.72937361567223 4.15077956825809 378.241890417756 3.00421929864404e-84 4.60571853642953e-81
"ENSG00000128713.12" -3.69399846847534 5.59820881425275 375.011419135567 1.5173031590066e-83 2.14721740124958e-80
"ENSG00000161649.11" 1.86671107132046 4.88149857868912 370.455098376269 1.48972204889756e-82 1.95760118096917e-79
"ENSG00000128714.5" -3.60491727618942 5.5931975450613 366.395651789493 1.14020433664694e-81 1.39842261208625e-78
"ENSG00000183607.8" 1.62659042377085 5.19923046242327 361.117432157832 1.60793080581026e-80 1.84881893965571e-77
"ENSG00000250546.4" -4.09188465787655 5.46182665963324 358.927361557 4.82113008055466e-80 5.07788055144268e-77
"ENSG00000149435.11" 1.6587545256642 5.14242432049725 358.867388236528 4.96830189302431e-80 5.07788055144268e-77
"ENSG00000127928.11" -3.15244846175552 5.68773737339248 354.920388214933 3.5948137295017e-79 3.48072569377067e-76
"ENSG00000089116.3" -4.24829702501248 5.4047825389631 350.209867836831 3.81450290264693e-78 3.50877049499978e-75
"ENSG00000268505.1" 2.28232126416191 4.4017649929874 348.297267870656 9.95259190742574e-78 8.71894444385292e-75
"ENSG00000224271.4" -4.44417682870032 5.34454037886131 342.005928924743 2.33355851339562e-76 1.95138527140633e-73
"ENSG00000006377.10" -2.7644840112727 5.79059912718 341.826588916497 2.55314290171063e-76 2.04218130272915e-73
"ENSG00000155918.6" -2.77008383503076 5.78607022853468 341.216532712729 3.46683197665526e-76 2.65747116143861e-73
"ENSG00000257636.5" -4.075201310978 5.39425343714269 337.292935236055 2.47986465379809e-75 1.82488280143694e-72
"ENSG00000140505.6" 2.39769600487205 4.28913417526919 336.549118192433 3.60099390930007e-75 2.54798019036128e-72
"ENSG00000139800.8" -3.01968551978312 5.66953529002512 335.965339329316 4.82573131479074e-75 3.28811033326686e-72
"ENSG00000267774.2" 2.37757667320098 4.300689452221 334.985599842361 7.88753513534957e-75 5.18239228160807e-72
"ENSG00000021852.11" 1.81599277514476 4.85353087559722 334.785283647679 8.72104527184239e-75 5.53245068503739e-72
"ENSG00000224215.1" 2.02087968786741 4.6118030310024 333.529637725911 1.63696630473941e-74 1.0038423036097e-71
"ENSG00000034971.13" 1.97136290147252 4.66160167879221 332.188548252465 3.20717994107709e-74 1.90330610890307e-71
"ENSG00000249641.2" -4.26342395906625 5.3415891268133 331.988982345808 3.5447713872795e-74 2.03791122536816e-71
"ENSG00000106031.7" -3.43076260985394 5.52312564921523 331.281322090604 5.05493191519626e-74 2.81804795284441e-71
"ENSG00000249395.2" -2.36416064158883 5.93407240246504 326.249338758815 6.30522144170453e-73 3.41168114303054e-70
"ENSG00000267284.1" -3.46748236170263 5.48960025964606 324.546230374264 1.48134182604356e-72 7.78635587820667e-70
"ENSG00000239268.2" 2.40916189342067 4.25715255836957 324.454586053011 1.55101697394056e-72 7.9261275748846e-70
"ENSG00000091583.9" 1.80485175335899 4.82945860021136 320.926169608327 9.10253474245099e-72 4.52592788261813e-69
"ENSG00000244280.1" 1.78366142823666 4.85144822819948 318.999891243938 2.39192539318604e-71 1.15800661732746e-68
"ENSG00000094796.4" -3.05133731883992 5.5912546382452 317.126789027403 6.12008554210224e-71 2.88695419789884e-68
"ENSG00000159527.3" -2.87194745057178 5.65710988862378 316.883285847147 6.91511327889403e-71 3.18043347479534e-68
"ENSG00000233854.1" -4.34520334960756 5.27384319840199 316.500049218145 8.38067920298414e-71 3.76047208042193e-68
"ENSG00000036473.6" 2.23752994114802 4.36456756139118 313.79655120659 3.25227694383904e-70 1.42457473656683e-67
"ENSG00000233221.5" -3.7497842445896 5.37034030627841 310.734461018605 1.51087280512224e-69 6.46407604554275e-67
"ENSG00000080618.12" 1.56356195706171 5.14626744188989 310.289920008464 1.88828552274491e-69 7.89517926407683e-67
"ENSG00000229544.8" -3.49577497689164 5.42693209688965 309.143871142301 3.35526957783847e-69 1.37170876496654e-66
