"logFC" "logCPM" "LR" "PValue" "FDR"
"ENSG00000124233.11" 1.37825764307583 5.1476105868418 283.681077946283 1.18425118678265e-63 2.08736114182309e-59
"ENSG00000119919.10" -1.80345507739354 5.51263067348704 217.779852797218 2.7584507949647e-49 2.43102268560239e-45
"ENSG00000139800.8" -1.99266007649209 5.30990540828798 206.010039832868 1.0195322735038e-46 5.99009195092599e-43
"ENSG00000043355.9" -1.6059947063442 5.61096488262352 202.86800953175 4.94298984381496e-46 2.17812847467706e-42
"ENSG00000144355.13" -1.18076853646694 6.11543678742098 197.267023560497 8.24609985261982e-45 2.90691512004554e-41
"ENSG00000142619.4" 1.3627789230144 4.82067036412925 195.567320326658 1.93729115654724e-44 5.69111565421694e-41
"ENSG00000115844.9" -1.41178246053445 5.61611986710968 169.421631266846 9.89667295230321e-39 2.49198224938995e-35
"ENSG00000124157.6" 1.06422268709106 5.21280159649855 163.455116732338 1.98973702198753e-37 4.07640159045126e-34
"ENSG00000274326.1" -1.62419761746219 5.35333028497085 163.365535122699 2.08144867321351e-37 4.07640159045126e-34
"ENSG00000139144.8" 1.08256382291028 5.13515272926116 157.576655474557 3.82952121297278e-36 6.74991408998582e-33
"ENSG00000164175.13" -1.27584356684165 5.688747726643 155.201078342824 1.26547093303504e-35 2.02774460597051e-32
"ENSG00000181072.10" 1.30151116931144 4.6855776578859 149.785911745783 1.93087671329383e-34 2.83613607904309e-31
"ENSG00000165794.8" 1.00917995532064 5.24139112859965 148.447288660166 3.78753708225499e-34 5.03729783246335e-31
"ENSG00000232806.1" -1.48771912331381 5.38360421500465 148.33834111147 4.00103084389464e-34 5.03729783246335e-31
"ENSG00000197616.10" 1.12236772402686 4.98607558711141 147.267191259655 6.85997026089907e-34 8.06092238790713e-31
"ENSG00000223400.1" -1.26795184273079 5.56235079231397 137.588115811832 8.96744617736453e-32 9.8787628951392e-29
"ENSG00000168269.8" 0.931519375623843 5.21970236286413 120.714573723173 4.41263003057168e-28 4.57511864228567e-25
"ENSG00000104755.13" -1.19395444381428 5.51408247283618 120.16251351325 5.82848034746407e-28 5.70737747802232e-25
"ENSG00000254988.1" -1.27389606247672 5.40003485369892 119.663526633061 7.49545645256565e-28 6.95341660173274e-25
"ENSG00000225431.1" 0.979195832437063 5.02316634946772 111.237469101422 5.24910041172765e-26 4.62603219285557e-23
"ENSG00000165863.15" 0.964172143873458 5.00787817284605 105.629236885574 8.89062282961532e-25 7.46219609499046e-22
"ENSG00000214128.9" 1.00975514179497 4.89873820765584 104.723126508217 1.40452131241881e-24 1.12527693875881e-21
"ENSG00000170370.11" 0.912253294854011 5.12076629921307 104.31621632877 1.72471638805389e-24 1.32173265460165e-21
"ENSG00000137975.7" 0.793370734768586 5.43221566958257 102.251936614391 4.88911474548204e-24 3.59064735432777e-21
"ENSG00000174482.9" 1.02589531494276 4.83991116754097 101.876582738799 5.90909459155381e-24 4.1661480508291e-21
"ENSG00000116745.6" 0.854728848425448 5.22144741361987 99.2317653511332 2.24615238439063e-23 1.52271853566421e-20
"ENSG00000164616.13" 1.03790356944725 4.78668399775575 98.6106262252183 3.07365483096202e-23 2.00652740927914e-20
"ENSG00000215808.2" 0.974482543122153 4.91173936026613 97.7826394308465 4.66923356754694e-23 2.9392825307708e-20
"ENSG00000204767.3" 1.03418947117262 4.77801829864118 96.829515479571 7.55612626001459e-23 4.59256142962128e-20
"ENSG00000251493.3" -0.993691042432575 5.59395889970894 96.4134415691004 9.32320364161717e-23 5.4776929129048e-20
"ENSG00000225937.1" -0.648146682828566 6.4557484684109 95.6431876385956 1.37572280869838e-22 7.82209362132828e-20
"ENSG00000251381.5" 0.877653323109264 5.11583926686461 94.9764984711345 1.92658988016983e-22 1.06118978837104e-19
"ENSG00000275465.3" 0.995001632599964 4.83798153180364 94.6727080159061 2.24614742138653e-22 1.19971498331391e-19
"ENSG00000233041.7" -0.994619852099891 5.56359478467482 93.9922667457115 3.16759001344373e-22 1.6421159287341e-19
"ENSG00000167346.6" -0.984398447603559 5.57852283960763 93.6621647772902 3.74246876002332e-22 1.88470726754774e-19
"ENSG00000187323.10" 0.900748165713294 5.04085578731927 93.4127824060494 4.24500351746776e-22 2.07840088885796e-19
"ENSG00000141744.3" 0.830767678531994 5.21575542208549 92.4797855648827 6.80159749960577e-22 3.17450074261513e-19
"ENSG00000197757.7" -0.777179897843323 6.02434392627436 92.4675077332493 6.8439253500156e-22 3.17450074261513e-19
"ENSG00000095627.8" -0.799795084838746 5.94982516053069 91.2584999707069 1.26077269099222e-21 5.69804601318687e-19
"ENSG00000101977.18" 0.816430185226139 5.23529800184726 90.5902583291864 1.76728348611348e-21 7.78753468155903e-19
"ENSG00000105929.14" 0.862710563429363 5.09998094098981 89.8660629997732 2.54841103272183e-21 1.09556811860378e-18
"ENSG00000250685.6" 0.985299638790469 4.80035621505918 88.7258741381577 4.53494652020317e-21 1.90316588964527e-18
"ENSG00000229847.7" 0.762595335055021 5.36320088429047 87.6747676783559 7.71523681950177e-21 3.15400546611131e-18
"ENSG00000130675.13" -0.925517818164219 5.61755525549631 87.6346344588217 7.87338253199238e-21 3.15400546611131e-18
"ENSG00000187288.9" 0.930774017230561 4.88005994667677 84.9649331629793 3.03703825775301e-20 1.18957414069232e-17
"ENSG00000188488.12" 0.676188045594709 5.61222450187848 83.9808238152812 4.99597268952745e-20 1.91432640490458e-17
"ENSG00000197674.5" -0.939830693754853 5.53501640768074 83.5231850874694 6.29730613785812e-20 2.36162378693377e-17
"ENSG00000244355.6" 0.924788337076652 4.87319208788365 83.0842909684552 7.86280613586739e-20 2.88728793647497e-17
"ENSG00000105852.9" 0.841633276490847 5.07381156602231 82.7034729037418 9.53336040691617e-20 3.36974106618674e-17
"ENSG00000233485.1" 0.936389893365021 4.84284336371906 82.6981625327128 9.55900676894004e-20 3.36974106618674e-17
"ENSG00000213424.7" 0.831067756026289 5.10019705348236 82.532478291013 1.03948009189765e-19 3.59252472544863e-17
"ENSG00000227392.1" -1.00842575287957 5.37672472100956 81.1229199067608 2.12105655210762e-19 7.18956592066327e-17
"ENSG00000260209.1" -1.02342822450949 5.33454780459503 79.8845529808855 3.96937683993069e-19 1.3200799279362e-16
"ENSG00000243479.3" -0.934260620208582 5.47235013299097 78.1681801633623 9.46306680168648e-19 3.08881510086159e-16
"ENSG00000180871.6" 0.746118514738034 5.2645151224437 75.9898100771375 2.85132328412839e-18 9.13771349200854e-16
"ENSG00000156096.11" -0.871856421176136 5.56471318746469 75.7346571425744 3.24462468707007e-18 1.02124562025531e-15
"ENSG00000246022.2" 0.814833650965098 5.05110660073496 75.0637829209569 4.5575024805182e-18 1.40930769687042e-15
"ENSG00000169271.2" 0.857491083414017 4.9371322291215 74.8512599814396 5.07546599223212e-18 1.54241661343247e-15
"ENSG00000150394.12" 0.794012678023681 5.09570784199786 74.0651089480967 7.55825186099017e-18 2.25799571697988e-15
"ENSG00000258837.1" 0.870188376269335 4.89345641973305 73.8569713244356 8.39872670386816e-18 2.46726594803967e-15
"ENSG00000123500.8" -0.75656236284743 5.80866947800343 73.6859967083008 9.15863138856386e-18 2.64639404680044e-15
"ENSG00000269420.4" -0.940750810907088 5.38881928958454 73.2429643699947 1.14633067334739e-17 3.25890716910018e-15
"ENSG00000256751.4" 0.795436021483186 5.07772248406592 73.0233827209546 1.28122889675164e-17 3.58459373557848e-15
"ENSG00000162592.7" 0.8677160687933 4.88727258082786 72.8860767180635 1.37353751763613e-17 3.78280816966475e-15
"ENSG00000112175.7" 0.6908680970254 5.40102725135115 72.7359465879399 1.48209853903931e-17 4.01899520755491e-15
"ENSG00000174279.4" 0.70902734003377 5.33298131914303 72.327385514488 1.82299946109125e-17 4.86851340927189e-15
"ENSG00000182050.12" 0.83249372583726 4.96486750795734 72.0541842355461 2.09368765049759e-17 5.50796097427918e-15
"ENSG00000166869.2" 0.671502307991686 5.44506496211529 71.0949262678796 3.40444441811113e-17 8.82452019318041e-15
"ENSG00000226306.6" 0.697977363936258 5.34494571038948 70.617818676305 4.33583126236912e-17 1.10758495406548e-14
"ENSG00000174611.10" 0.713452954307979 5.2882855805525 70.294193223107 5.10878563347448e-17 1.28639222250888e-14
"ENSG00000280362.1" 0.805965848102117 5.00569553013035 69.8639293874254 6.35398109635885e-17 1.56638293361785e-14
"ENSG00000163331.9" 0.697023961420951 5.33660192327053 69.8501640204157 6.39847788610491e-17 1.56638293361785e-14
"ENSG00000140274.12" 0.798812286390933 5.02091499966854 69.5545293350715 7.43308720248065e-17 1.79473417850581e-14
"ENSG00000198353.7" -0.707301397917606 5.86873070929885 69.0526498712142 9.58696378296456e-17 2.28351113025045e-14
"ENSG00000189127.6" -0.835831047421432 5.52083653518136 67.8450428052881 1.76862677838121e-16 4.15650874609963e-14
"ENSG00000250641.1" 0.845208872604269 4.87075268812405 67.4104203992513 2.20480548939349e-16 5.11340809948022e-14
"ENSG00000100884.8" 0.616303345983434 5.58918366031029 66.9432983593405 2.79429706875561e-16 6.39640001738784e-14
"ENSG00000164778.4" -0.94870345473559 5.27103768139672 66.5031135277684 3.49341374571131e-16 7.89421931819327e-14
"ENSG00000167656.4" 0.723468218564278 5.1974561074758 66.4273055742946 3.63038125984089e-16 8.09988608682981e-14
"ENSG00000163273.3" 0.679972546881709 5.32780253428946 65.5383826559455 5.69930944570472e-16 1.25570035362489e-13
"ENSG00000161798.6" 0.686343920653195 5.26133409515869 62.8064115302832 2.28055242220589e-15 4.96259469059272e-13
"ENSG00000171124.11" 0.701378245125759 5.2062103152556 62.4954414442425 2.67062083135838e-15 5.74053204555156e-13
"ENSG00000170178.6" 0.77503624207043 4.97908820731117 62.1789869415863 3.1361655487694e-15 6.66000650151921e-13
"ENSG00000157551.16" 0.58184216959946 5.64853898376993 62.1397290957757 3.1993132258343e-15 6.7132255855423e-13
"ENSG00000171401.13" 0.534738290940773 5.85969613499893 61.9771881904892 3.47459194125618e-15 7.20507735959781e-13
"ENSG00000119547.5" -0.656529525142476 5.88998049466022 61.7498005151742 3.89991044474958e-15 7.99300249990188e-13
"ENSG00000016602.9" 0.64838492297884 5.37067566854713 61.3711229276176 4.72692740170751e-15 9.57664625086167e-13
"ENSG00000260896.4" -0.582288680235684 6.12863021144923 60.895187973104 6.01957988488727e-15 1.20569448921617e-12
"ENSG00000136944.16" -0.749399309257893 5.60249382575517 60.6085419979414 6.96312011970446e-15 1.37901073292035e-12
"ENSG00000260228.4" -0.650136504040703 5.87384470720412 59.8788099310594 1.00881767183878e-14 1.97571336487003e-12
"ENSG00000235848.3" 0.717313886410765 5.1102141392012 59.7596234757257 1.07179804216757e-14 2.07599036167533e-12
"ENSG00000168143.8" 0.615952689582434 5.45841009468799 59.4022923731931 1.28519286015021e-14 2.4514959768477e-12
"ENSG00000110975.7" 0.734432875141257 5.05171296290956 59.3801355534345 1.29974478482772e-14 2.4514959768477e-12
"ENSG00000147255.16" 0.586914719537191 5.57562358132114 59.3685936498796 1.30739034280996e-14 2.4514959768477e-12
"ENSG00000198488.9" -0.759124375207158 5.55110791961132 59.196114215677 1.42715379324065e-14 2.64789607996417e-12
"ENSG00000266256.1" 0.694157223492375 5.16170173391372 58.4482186034937 2.08712490530052e-14 3.83204828966948e-12
"ENSG00000203635.2" -0.741805858400154 5.57917461871208 58.3385836285967 2.206734947829e-14 4.00988764849834e-12
"ENSG00000256812.1" 0.677983132255327 5.21216871023309 58.2664795704411 2.28911395193061e-14 4.11713495068662e-12
"ENSG00000225398.2" 0.727295305758404 5.05032397680122 58.0074789562848 2.61123130170624e-14 4.6490467599873e-12
