"logFC" "logCPM" "LR" "PValue" "FDR"
"ENSG00000196344.10" 1.75008235086919 4.82162273584293 241.307909692812 2.03951073794664e-54 3.76146965399498e-50
"ENSG00000034971.13" 1.37033925976092 5.29985242184663 211.185838515842 7.57099293670727e-48 6.98159113658461e-44
"ENSG00000109182.10" 1.72264431880138 4.69633830185881 201.447479175436 1.00917177519469e-45 6.20405168330523e-42
"ENSG00000167916.4" 1.81680762221611 4.55217793375603 194.400944672753 3.48141754505058e-44 1.6051945945842e-40
"ENSG00000256713.6" 1.45742338495299 5.04532912644821 192.187120232429 1.05911699326561e-43 3.90665894135952e-40
"ENSG00000229859.7" 1.30516697147207 5.31626975453278 190.223079227966 2.84208991293452e-43 8.73611071070856e-40
"ENSG00000180440.3" 1.87894743685336 4.4512336448748 186.427378849188 1.91511624007234e-42 5.04578411652203e-39
"ENSG00000170373.7" -1.59460017255918 6.08477897119949 181.831607004115 1.92982146229773e-41 4.44896215364462e-38
"ENSG00000228630.4" -2.3139507078077 5.48566871839877 175.9571021767 3.70001373618733e-40 7.58215037072256e-37
"ENSG00000171885.12" 1.53650435049434 4.79874387464633 169.270467253216 1.0678387480068e-38 1.96941500294894e-35
"ENSG00000186009.4" 1.32264826119907 5.15802716320942 169.017128123995 1.21293930498131e-38 2.03365814561549e-35
"ENSG00000180818.4" -1.78249573444413 5.78669274392578 165.264302669809 8.00891929875215e-38 1.23090415522405e-34
"ENSG00000128610.10" -2.20714297099176 5.45646850768027 162.304309396298 3.54981947391841e-37 5.0361015813444e-34
"ENSG00000105675.7" 1.26115081336897 5.23572969370661 162.113175258261 3.90807892573366e-37 5.14833568766471e-34
"ENSG00000230316.5" -1.92100040433068 5.64844783876192 161.884138090406 4.38532156036233e-37 5.39189903585083e-34
"ENSG00000180806.4" -1.92876198765393 5.62755298452865 159.813293419893 1.24291554469017e-36 1.43269321192005e-33
"ENSG00000169605.5" 1.01903795817889 5.76735273361466 156.614539374272 6.21410833611029e-36 6.74157647311072e-33
"ENSG00000005073.5" -1.92718504294501 5.5831673391096 153.625662477585 2.79599929002443e-35 2.86481193921781e-32
"ENSG00000260597.1" -2.48165542007992 5.20428059141144 147.454233431088 6.24359235836555e-34 6.0605565192282e-31
"ENSG00000229970.3" -2.35770542398283 5.26349731703718 147.119416340027 7.38969115820917e-34 6.81440370154258e-31
"ENSG00000240990.8" -1.98317976987965 5.48720792281209 146.426324032452 1.04746921434811e-33 9.19927367629631e-31
"ENSG00000183607.8" 1.02521821151626 5.62471886869152 140.44555852468 2.12706842021671e-32 1.72695108243027e-29
"ENSG00000250133.2" -2.07120306003068 5.38008834533653 140.42088760139 2.15365585294671e-32 1.72695108243027e-29
"ENSG00000123500.8" -1.34561156553477 6.0589193842552 139.643162374643 3.18600587103354e-32 2.44831276164465e-29
"ENSG00000180178.9" -2.05518606306637 5.31047219202205 130.55523585893 3.09790826091023e-30 2.28538888223869e-27
"ENSG00000148826.8" 1.25202606094941 5.01919523983529 128.749641943918 7.69356227760387e-30 5.45739881099416e-27
"ENSG00000249550.5" -1.93945857588515 5.37243649341097 128.47360458704 8.84152752919092e-30 6.03941823040253e-27
"ENSG00000123388.4" -1.49989130738267 5.75989221138046 127.514903324995 1.43320608476036e-29 9.44022136472688e-27
