"logFC" "logCPM" "LR" "PValue" "FDR"
"ENSG00000160181.7" 1.91168815207249 4.63534774234802 411.010312866 2.20906228299641e-91 3.98890376440662e-87
"ENSG00000072041.15" 2.05060235736308 4.49161785657609 408.553988333454 7.56636715492705e-91 6.83129458582589e-87
"ENSG00000111262.4" 1.69902614486597 4.82540804271287 382.515187434146 3.5267129099961e-85 2.12272850052665e-81
"ENSG00000258117.2" 1.77377642377188 4.66447143891762 353.883759284774 6.04517846828301e-79 2.72894469004466e-75
"ENSG00000254799.1" -2.72234437400691 5.31958921126626 343.971470713144 8.70902379878926e-77 3.14517685469475e-73
"ENSG00000182348.6" 1.37717342487521 5.18644722716767 333.492552474793 1.66769529418003e-74 5.01892898783479e-71
"ENSG00000100341.10" -2.62630977659506 5.31128902764599 328.68210936441 1.86134729243359e-73 4.80147829421048e-70
"ENSG00000250846.5" 1.90345160194317 4.46025809631758 326.254172385957 6.28995498283893e-73 1.41972146406403e-69
"ENSG00000174145.7" 1.78642449264894 4.58032997392958 325.327171791299 1.00128403356002e-72 2.00890953266593e-69
"ENSG00000260943.1" -1.73649025008473 5.85100649723903 318.777199952984 2.67457717521947e-71 4.82948400529379e-68
"ENSG00000160182.2" 1.74631408366581 4.60718108828975 317.97839790273 3.9925856613137e-71 6.34254778055584e-68
"ENSG00000175097.6" 1.41961634010714 5.06435808933238 317.870306352252 4.21501763120508e-71 6.34254778055584e-68
"ENSG00000223914.1" -1.68390612736545 5.88182483576677 313.692529195913 3.42647175600903e-70 4.75936926909654e-67
"ENSG00000253288.1" 1.74554211113632 4.58209557009983 308.026527980059 5.87674232631458e-69 7.57973829901875e-66
"ENSG00000225802.3" -2.6452260876002 5.22820531383676 306.690551109938 1.14862471916906e-68 1.3612503612127e-65
"ENSG00000259264.4" -2.20642565178457 5.45249288713173 306.593079674576 1.20618074870705e-68 1.3612503612127e-65
"ENSG00000147256.9" -1.49650240994493 6.05232670690755 305.977872978857 1.64223835053706e-68 1.7443469350381e-65
"ENSG00000145681.9" -1.95850963375074 5.60884594960474 303.674479506636 5.21485210658453e-68 5.23136580492205e-65
"ENSG00000237463.4" -1.73030414109312 5.79764273960724 303.30289792832 6.28339055576974e-68 5.97153596134391e-65
"ENSG00000204544.5" -1.75459018308914 5.77161597876419 302.329415565619 1.02394494307228e-67 9.2446869185281e-65
"ENSG00000109205.15" 1.44879229160891 4.95873435604493 299.528190487162 4.17410180383828e-67 3.58913125104323e-64
"ENSG00000237396.1" 1.58757683269895 4.73991854313769 294.516981986615 5.15670814425909e-66 4.23248540731301e-63
"ENSG00000163207.6" -2.09068508473277 5.4672581588602 290.964748073013 3.06441533037313e-65 2.4058325052412e-62
"ENSG00000197587.9" -2.38135285444596 5.29542322859931 290.655285139951 3.57911918959664e-65 2.69283980027277e-62
