"logFC" "logCPM" "LR" "PValue" "FDR"
"ENSG00000258537.4" 3.11522574418132 4.4041022254388 560.755356568999 5.75842559835988e-124 9.69085443947983e-120
"ENSG00000121871.3" 2.91946078294555 4.47383438690607 525.958421756843 2.13905712712528e-116 1.79990961961957e-112
"ENSG00000225398.2" 2.89948951867698 4.31637569027625 395.5669580392 5.08119027046952e-88 2.85037836872439e-84
"ENSG00000273348.1" 2.78938607339382 4.3411905104493 372.158277077485 6.34269650304658e-83 2.66853098624427e-79
"ENSG00000196616.11" 1.73965705422164 5.25695865960349 343.597295963208 1.05064374553613e-76 3.5362567187255e-73
"ENSG00000204071.8" 2.40150706020836 4.50874632153864 325.703758346585 8.2895864238336e-73 2.32509083211159e-69
"ENSG00000106809.9" 1.54335302046824 5.46165789017401 309.129696234155 3.3792113469032e-69 8.12410682243342e-66
"ENSG00000280323.1" 2.39080396130167 4.47706129403343 306.452223641706 1.29448802210395e-68 2.72311736549842e-65
"ENSG00000104938.15" 2.42137196320278 4.43605284027303 297.195210104524 1.34539572434121e-66 2.51574051610424e-63
"ENSG00000269933.1" 2.49969575152706 4.38089443788341 295.693837780527 2.85733636972518e-66 4.80861137661051e-63
"ENSG00000119973.4" 2.1715892127214 4.61822150708009 291.067429886296 2.91054590665618e-65 4.45287064210153e-62
"ENSG00000108381.9" 1.87210573718416 4.91431005275142 286.208483661902 3.33205277480836e-64 4.67292634560416e-61
"ENSG00000224958.4" 1.95981904818356 4.79945073096517 281.07735741838 4.37343699217122e-63 5.66158239548073e-60
"ENSG00000267206.4" 2.17229347812533 4.59199865527893 280.737561233167 5.18644181339657e-63 6.23447351983221e-60
"ENSG00000276409.3" 1.84206352346335 4.91950581927053 275.960691618953 5.69972505666549e-62 6.39471153190824e-59
"ENSG00000163792.6" 1.47816218862176 5.42679338308134 267.763673819952 3.4858939841242e-60 3.66650686617664e-57
"ENSG00000112936.17" 1.41751649433589 5.53110721036298 266.203735165219 7.62623133702028e-60 7.54952042180672e-57
"ENSG00000249346.5" 2.08712741945801 4.62822481699246 265.379508061135 1.15333911879861e-59 1.07830800168121e-56
"ENSG00000261672.1" 2.29846752790845 4.44820853894878 263.183261666493 3.4726180831973e-59 3.07582577484881e-56
"ENSG00000070193.4" 2.00299625315703 4.70240770855988 262.933301921036 3.93676858642687e-59 3.31259392704889e-56
"ENSG00000127083.7" 1.72078021377436 5.02681268432155 261.13741371722 9.6959229370966e-59 7.7701279575428e-56
"ENSG00000234638.1" 2.11044922244381 4.59516944312452 260.988241026016 1.04497220677732e-58 7.99356239447979e-56
"ENSG00000114200.8" 1.50528817654738 5.27794631334298 241.837919247497 1.56301565846367e-54 1.14365176157761e-51
"ENSG00000181234.9" 1.4989268573642 5.28585597207196 241.178256498921 2.17668500101317e-54 1.52630966175211e-51
"ENSG00000122420.8" 1.55674533659378 5.18298248216078 238.846992699444 7.0164115197432e-54 4.72316757863033e-51
"ENSG00000188778.4" 2.11184908774561 4.53072195866486 238.052775775875 1.04542862508189e-53 6.76673781980886e-51
"ENSG00000181195.9" 2.04750043549249 4.58185959015128 236.183261890532 2.67271155299644e-53 1.665891212051e-50
"ENSG00000102271.12" 1.6723891458766 4.9998618554816 235.280501909641 4.20541257428507e-53 2.52760315045155e-50
"ENSG00000165694.8" 2.23421662321013 4.42327310830622 234.181049833439 7.30399052957476e-53 4.23858126283495e-50
"ENSG00000101251.10" 2.03407275087444 4.58293844048694 232.439001177582 1.75165682048072e-52 9.82621087729002e-50
"ENSG00000123560.12" 1.81431635522642 4.8061665748244 231.283579039008 3.12909476245862e-52 1.69869470185213e-49
"ENSG00000188730.4" 1.65453448102056 4.97831674749417 223.312200049536 1.71368992899629e-50 8.94153051093651e-48
"ENSG00000258274.1" 1.74261066366551 4.86340043920167 223.266648756124 1.7533454564199e-50 8.94153051093651e-48
"ENSG00000244953.1" 1.86682710703441 4.70916518287356 220.215392426143 8.11710404983121e-50 4.01772776631204e-47
"ENSG00000267405.1" 2.11845317849711 4.46219308804725 216.114825095017 6.36609275007912e-49 3.06099928260233e-46
"ENSG00000141052.16" 1.35001710795591 5.42313657548922 212.353535600749 4.21118517664103e-48 1.96861209271366e-45
"ENSG00000159184.7" -2.38931742268703 5.76787623686355 212.117204300381 4.74201149983941e-48 2.15684625758912e-45
"ENSG00000165966.13" 1.67675136903973 4.90157873537527 211.441546439487 6.65834407595467e-48 2.94877032774319e-45
"ENSG00000254510.1" 1.62251871963014 4.97172683368051 210.748665229459 9.43038939159754e-48 4.06933392490243e-45
"ENSG00000109906.12" 1.54106402740508 5.08450891908172 209.465126159647 1.79705268090375e-47 7.5606498917323e-45
"ENSG00000256508.2" 1.91746026428159 4.61935415579541 209.257719158198 1.99439776767771e-47 8.18627317859711e-45
"ENSG00000261409.1" 1.78669254733824 4.75762030958492 209.005466396792 2.2638478999661e-47 9.07102293060225e-45
"ENSG00000136267.12" 1.63377941025549 4.94227781973886 207.38215163373 5.11708714789441e-47 2.00268510725384e-44
"ENSG00000280304.1" 2.05496157548378 4.48582994359035 206.744112281647 7.05073024034663e-47 2.69674407306349e-44
"ENSG00000161649.11" 1.86958519763338 4.65309192197257 205.089767070111 1.61882025290478e-46 6.0540280080299e-44
"ENSG00000172399.5" 2.00468909650945 4.51712238561833 203.024685408756 4.56879800396526e-46 1.67148481758112e-43
"ENSG00000169218.12" 1.27252286858362 5.52526721382027 202.213023721474 6.86931660150514e-46 2.45965381035596e-43
"ENSG00000196109.6" 1.80899976479885 4.70609430304986 201.947243486913 7.85072591582325e-46 2.75249721744561e-43
"ENSG00000187922.12" 1.82053862721516 4.69260596873072 201.707527507669 8.85561844592733e-46 3.04145311890839e-43
"ENSG00000111404.5" 1.51552667520195 5.08098640629526 199.960675150504 2.13016607641006e-45 7.16971297998097e-43
"ENSG00000135374.8" -2.48087877040847 5.63612519961933 196.642310163591 1.12871765728552e-44 3.7245469518545e-42
"ENSG00000174576.7" 1.77828393119445 4.71563140593077 195.540850192075 1.96323330260908e-44 6.35370254800157e-42
"ENSG00000106511.5" 1.60947092783273 4.92025162171392 194.478828560382 3.34778635881536e-44 1.06301691759441e-41
"ENSG00000143196.4" 1.23216282053474 5.56692083755595 194.226131102862 3.80110435684181e-44 1.18460713372761e-41
"ENSG00000174403.14" 1.69613016522336 4.8049213188594 193.7542283804 4.81842486821533e-44 1.47435040194902e-41
"ENSG00000186439.11" 1.93653284860856 4.54610039981352 193.413371999116 5.71873021282257e-44 1.71858054913555e-41
"ENSG00000248309.4" 1.64290566152481 4.86499548029043 192.028724804968 1.14687553820755e-43 3.3860997249991e-41
"ENSG00000105852.9" 1.81050562454885 4.66251349972132 190.949353401198 1.97292398386593e-43 5.72454098697925e-41
"ENSG00000263065.1" 1.93715669140322 4.53535329730681 190.529785114519 2.43607818874917e-43 6.94860336245082e-41
"ENSG00000146477.5" 1.30554986032694 5.39428229706476 189.921519118011 3.30720976707109e-43 9.27617219500655e-41
"ENSG00000130368.5" 1.90193858086717 4.5626195523968 188.936474605679 5.42599019730301e-43 1.49695063984283e-40
"ENSG00000169271.2" 1.76877063022303 4.69761303826689 188.305340322205 7.45155911105641e-43 2.02261755290272e-40
"ENSG00000171872.4" 1.90606628548818 4.5535760077474 187.531466492549 1.09945304826338e-42 2.93693576971815e-40
"ENSG00000158445.7" 1.30556518163121 5.37991243108299 187.262184601066 1.25880742220274e-42 3.31007345441405e-40
"ENSG00000267505.1" 1.79109474704194 4.66286198444886 185.731094685064 2.71766145202785e-42 7.03623455018104e-40
"ENSG00000152977.8" -2.12043316251244 5.76166325129545 183.752376300655 7.34801264595589e-42 1.87363189119381e-39
"ENSG00000226237.1" 1.55373142456117 4.92805838348037 179.314784624971 6.83962317488631e-41 1.71797042403227e-38
"ENSG00000280551.1" 1.75931518026772 4.66772817509697 178.426930228842 1.06879257287455e-40 2.64510444248615e-38
"ENSG00000149575.5" 1.45006825756185 5.07493671621057 177.602643755695 1.61763098602287e-40 3.94537853098245e-38
"ENSG00000070808.14" 1.44232091508599 5.08600809997593 177.346892856707 1.83960486575518e-40 4.42267289797057e-38
"ENSG00000165072.9" 1.17631890982717 5.58903467118303 176.964466904038 2.22962023628333e-40 5.28482802202988e-38
"ENSG00000227467.3" 1.72182232733456 4.69171613968297 174.21061148729 8.90411997730151e-40 2.08121437636121e-37
"ENSG00000115507.8" -1.82524915967608 5.90151997592485 172.12661778694 2.53926732292351e-39 5.85388079143559e-37
"ENSG00000136546.12" 1.34070603545884 5.22340920666467 170.824511414271 4.8875077560991e-39 1.11151173009989e-36
"ENSG00000280237.1" 1.27849923372644 5.33279241345695 169.661910977684 8.77018839116226e-39 1.96791333913159e-36
"ENSG00000175946.8" 1.68867084386141 4.70837753145011 169.3357870694 1.03332953031849e-38 2.28814508759603e-36
"ENSG00000133863.5" 1.48752580568432 4.96131915478721 166.801023525189 3.69736995525659e-38 8.08091415285885e-36
"ENSG00000101938.13" 1.10042464949529 5.68652798964787 164.628054485489 1.10296364751243e-37 2.37971477230599e-35
"ENSG00000198523.5" 1.13040948101594 5.61320862025607 164.260540016677 1.32692238622726e-37 2.8266806123821e-35
"ENSG00000171873.7" 1.47519129710774 4.96224259416844 163.49129921192 1.95385019888504e-37 4.11016812462954e-35
"ENSG00000183230.15" 1.48837246628541 4.9423410656546 163.425441241047 2.01966151675811e-37 4.19615847722496e-35
"ENSG00000197083.10" 1.32914619031061 5.19027247680201 161.507606957739 5.29985184042196e-37 1.08769764173733e-34
"ENSG00000101951.15" 1.37504920974916 5.10878410916851 161.212546132087 6.14791238964568e-37 1.24654479042587e-34
"ENSG00000168079.15" 1.44642426993414 4.98728717563041 160.060179955341 1.09774067425512e-36 2.19927116750469e-34
"ENSG00000225706.1" 1.57482938505276 4.80370285594403 159.814309693537 1.24228023201845e-36 2.45956870878099e-34
"ENSG00000175084.10" 0.910948075701662 6.1671938278167 159.432894474283 1.50506548672138e-36 2.94520314837605e-34
"ENSG00000269793.4" 1.67001748203138 4.66986877332313 156.33152536708 7.16510271225936e-36 1.38599440855877e-33
"ENSG00000237978.4" -1.81403002859097 5.78990327956056 154.946515788092 1.43840682355796e-35 2.75078959473373e-33
"ENSG00000228962.1" 1.59254211767367 4.75420628060488 154.517790868597 1.78472905278213e-35 3.37474216059219e-33
"ENSG00000164530.12" 1.29350780138766 5.20836490503737 153.838047047602 2.51259285483832e-35 4.69826946156379e-33
"ENSG00000266964.4" 1.24799533139055 5.28977963940393 153.069509977652 3.69897694522986e-35 6.84066846277729e-33
"ENSG00000183783.6" 1.59550329015171 4.74219356586662 152.88289513583 4.06318001828448e-35 7.42116156363943e-33
"ENSG00000144891.16" 1.53998840428775 4.81393723180363 152.864453284337 4.10106379118466e-35 7.42116156363943e-33
"ENSG00000243004.4" 1.45408243023594 4.93316599767929 152.431123474437 5.10036787608926e-35 9.1312862751815e-33
"ENSG00000172987.11" 1.26916738277909 5.24035592330852 151.710412730303 7.33023455251364e-35 1.29853176088686e-32
"ENSG00000170893.3" 1.29700263790809 5.18478111360987 151.101737608859 9.95753386533798e-35 1.74557643145597e-32
"ENSG00000198354.5" 1.45546044572169 4.92048782539111 150.553256278103 1.31229813800265e-34 2.27676962520069e-32
"ENSG00000234336.5" 1.58100141435468 4.74399490249584 149.694913081011 2.02136578329701e-34 3.47118007827605e-32
"ENSG00000250056.4" 1.49972378935392 4.8503402212997 149.408528196253 2.33476428452687e-34 3.94113365261216e-32
"ENSG00000225670.4" 1.47391695564055 4.8869655778766 149.402490130339 2.34187037412333e-34 3.94113365261216e-32
"ENSG00000123572.15" 1.35651845096923 5.05764102557861 147.383992274751 6.46828757536037e-34 1.07777041193802e-31
"ENSG00000273771.1" 1.42525982824609 4.94522320019018 146.966679142653 7.98022868175593e-34 1.31665949495363e-31
"ENSG00000183287.12" 1.1407644534765 5.4686603541973 146.536032243458 9.91192361616699e-34 1.61949284015994e-31
"ENSG00000198300.11" 1.03184011939283 5.72863513502943 146.501930346711 1.00835383037306e-33 1.63169102032194e-31
"ENSG00000279377.1" 1.37741254147514 5.00288361004986 144.067329807457 3.4345528856307e-33 5.50477052497896e-31
"ENSG00000140285.8" 1.07900202053087 5.59166062727407 143.860003695217 3.81240491163544e-33 6.05273228848234e-31
"ENSG00000100448.3" 1.52539973143016 4.77667228635626 142.424783127941 7.85237527145117e-33 1.23502451816123e-30
"ENSG00000150625.15" 1.16818765131229 5.37739766319307 142.072088014185 9.37818730823945e-33 1.46134735379965e-30
"ENSG00000166405.13" 1.18458286339092 5.34156884531587 141.864779288333 1.04099391588808e-32 1.60723730371381e-30
"ENSG00000174460.3" 0.99414596968131 5.78840823473576 141.430826733158 1.29519740889301e-32 1.98153429038732e-30
"ENSG00000176165.9" -1.94404754327749 5.58797149876192 141.29908267319 1.38402338474799e-32 2.09835401278594e-30
"ENSG00000266010.1" 1.41710105236439 4.92030380347307 140.720970421752 1.85164176377154e-32 2.78225707522421e-30
"ENSG00000225342.2" 1.483973547415 4.82238727782858 140.583806435167 1.98404081134998e-32 2.95481617824856e-30
"ENSG00000104722.12" 1.38950065391395 4.95810492067255 139.940745561417 2.742655994776e-32 4.04878576632328e-30
"ENSG00000185988.10" 1.42806138839908 4.89444234355481 139.174213905121 4.03457474013646e-32 5.90416159145709e-30
"ENSG00000128573.21" 1.15512294526614 5.38280538813552 138.968340246009 4.475274207943e-32 6.49261979702351e-30
"ENSG00000223561.5" 1.37471877828702 4.97317480494056 138.613530768858 5.35072888247978e-32 7.69636037292754e-30
"ENSG00000147231.12" 1.28307033431015 5.12812175708006 138.538044923305 5.55803306851135e-32 7.92679139915063e-30
"ENSG00000135298.12" 1.33612009111746 5.03278717802143 138.067028926348 7.04579756017785e-32 9.96417875128009e-30
"ENSG00000145708.9" 1.39168839089005 4.94186053660401 137.885645914416 7.71966486766836e-32 1.08261866714992e-29
"ENSG00000054803.3" 1.34483981978976 5.01073014270531 136.907451255511 1.26338285171769e-31 1.75714628194685e-29
"ENSG00000182836.8" 1.25168154758688 5.17342725379457 136.737189455587 1.37649064206592e-31 1.89876729633831e-29
"ENSG00000130675.13" -1.67804257162682 5.75983624199924 136.070731724091 1.92547848502274e-31 2.63446157922338e-29
"ENSG00000277494.1" 1.1997727704149 5.26621495705713 135.654367044805 2.37469111845403e-31 3.2228771639083e-29
"ENSG00000230552.4" 1.54185611379961 4.71632215803553 135.466912475657 2.60980686245897e-31 3.51363517506576e-29
"ENSG00000054938.14" 1.09003812194759 5.49940931246346 135.16636360079 3.03631727456825e-31 4.0554113820404e-29
"ENSG00000182230.10" 1.44066059299644 4.84848002833227 134.665048098894 3.90842477627619e-31 5.17912445353953e-29
"ENSG00000241158.4" 1.17338806960257 5.31178672245053 134.542129182913 4.1580405058919e-31 5.46684872450428e-29
"ENSG00000277954.1" 1.2278451243017 5.19834594862305 133.867058396014 5.8419126603129e-31 7.62120528375239e-29
"ENSG00000204403.8" 1.43023777290688 4.85543584694314 133.341256295833 7.61331475461039e-31 9.8557287696414e-29
"ENSG00000215182.8" -1.6413418558242 5.76460617083681 132.606021589893 1.1025827828441e-30 1.41644012614377e-28
"ENSG00000214575.8" 1.19055455703514 5.25969680750967 132.234169795864 1.32971538582226e-30 1.69528638090931e-28
"ENSG00000145681.9" -1.4215632087544 5.98976306339597 131.757798251436 1.69033854310825e-30 2.13885017608787e-28
